sep=|
Name|Address|Stars|Rating|Price|Features|Description|Link
Ramada Hotel & Suites Sharjah|Sharjah|4|7.8|1230.0|2 restaurants onsite, Reservation possible without a credit card, Indoor Pool, Airport shuttle||https://www.booking.com/hotel/ae/ramada-sharjah-apartments.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=27447924_100723302_2_42_0;all_sr_blocks=27447924_100723302_2_42_0%2C27447924_100723302_2_42_0;nflt=class%25253D1%25253;hpos=1;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX1;from=searchresults;highlight_room=#hotelTmpl
Al Majaz Hotel Sharjah|Sharjah|3|8.1|966.0|Airport shuttle, Free WiFi||https://www.booking.com/hotel/ae/premier-inn-sharjah-king-faisal-street.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=140222901_86765229_0_42_0;all_sr_blocks=140222901_86765229_0_42_0%2C140222901_86765229_0_42_0;nflt=class%25253D1%25253;hpos=2;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX2;from=searchresults;highlight_room=#hotelTmpl
Citymax Sharjah|Sharjah|3|7.2|0.0|1 restaurant onsite, Airport shuttle, Free WiFi||https://www.booking.com/hotel/ae/citymax-al-wahda.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;soh=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=;all_sr_blocks=;nflt=class%25253D1%25253;soldout=0%2C0;hpos=3;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX3;from=searchresults;highlight_room=#hotelTmpl
Hotel Holiday International|Al Majaz, Sharjah|4|7.6|1152.0|Outdoor Pool, Free WiFi||https://www.booking.com/hotel/ae/holiday-international.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=6728516_88998137_0_42_0;all_sr_blocks=6728516_88998137_0_42_0%2C6728516_88998137_0_42_0;nflt=class%25253D1%25253;hpos=4;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX4;from=searchresults;highlight_room=#hotelTmpl
Coral Beach Resort Sharjah|Sharjah|0|7.9|2155.0|Beach, 5 restaurants onsite, Outdoor Pool, Airport shuttle||https://www.booking.com/hotel/ae/coral-beach-resort-sharjah.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=6838602_97402801_0_42_0;all_sr_blocks=6838602_97402801_0_42_0%2C6838602_97402801_0_42_0;nflt=class%25253D1%25253;hpos=5;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX5;from=searchresults;highlight_room=#hotelTmpl
Grand Hotel Sharjah|Sharjah|4|7.4|1560.0|Beach, 2 restaurants onsite, Outdoor Pool, Airport shuttle||https://www.booking.com/hotel/ae/sharjah-grand.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=7443804_88790164_0_0_0;all_sr_blocks=7443804_88790164_0_0_0%2C7443804_88790164_0_0_0;nflt=class%25253D1%25253;hpos=6;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX6;from=searchresults;highlight_room=#hotelTmpl
Aldar Hotel|Sharjah|3|6.6|800.0|Beach, Free WiFi||https://www.booking.com/hotel/ae/aldar.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=118294903_94158515_2_2_0;all_sr_blocks=118294903_94158515_2_2_0%2C118294903_94158515_2_2_0;nflt=class%25253D1%25253;hpos=7;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX7;from=searchresults;highlight_room=#hotelTmpl
Sharjah International Airport Hotel|Sharjah|2|6.6|900.0|Beach, Reservation possible without a credit card, Free WiFi, Parking||https://www.booking.com/hotel/ae/sharjah-international-airport.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=25906102_89292030_0_2_0;all_sr_blocks=25906102_89292030_0_2_0%2C25906102_89292030_0_2_0;nflt=class%25253D1%25253;hpos=8;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX8;from=searchresults;highlight_room=#hotelTmpl
Al Bustan Hotel|Al Khan, Sharjah|4|6.5|1050.0|Beach, Outdoor Pool, Free WiFi||https://www.booking.com/hotel/ae/al-bustan-sharjjah.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=151449901_88109881_1_1_0;all_sr_blocks=151449901_88109881_1_1_0%2C151449901_88109881_1_1_0;nflt=class%25253D1%25253;hpos=9;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX9;from=searchresults;highlight_room=#hotelTmpl
Ewan Hotel Sharjah|Sharjah|4|7.2|1500.0|Beach, Outdoor Pool, Parking||https://www.booking.com/hotel/ae/ewan-sharjah.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=17188602_88790167_0_0_0;all_sr_blocks=17188602_88790167_0_0_0%2C17188602_88790167_0_0_0;nflt=class%25253D1%25253;hpos=10;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX10;from=searchresults;highlight_room=#hotelTmpl
Summerland Motel|Sharjah|0|6.5|900.0|Beach, Reservation possible without a credit card, Outdoor Pool, Free WiFi, Parking||https://www.booking.com/hotel/ae/summerland.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=150380901_90066796_1_1_0;all_sr_blocks=150380901_90066796_1_1_0%2C150380901_90066796_1_1_0;nflt=class%25253D1%25253;hpos=11;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX11;from=searchresults;highlight_room=#hotelTmpl
Hilton Sharjah|Al Majaz, Sharjah|5|7.8|0.0|Beach, 1 restaurant onsite, Indoor & Outdoor Pools, Airport shuttle||https://www.booking.com/hotel/ae/millennium-sharjah.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;soh=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=;all_sr_blocks=;nflt=class%25253D1%25253;soldout=0%2C0;hpos=12;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX12;from=searchresults;highlight_room=#hotelTmpl
Sharjah Heritage Youth Hostel|Sharjah|0|6.5|450.0|Beach||https://www.booking.com/hotel/ae/sharjah-heritage-youth-hostel.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=31183801_97121917_0_0_0;all_sr_blocks=31183801_97121917_0_0_0%2C31183801_97121917_0_0_0;nflt=class%25253D1%25253;hpos=13;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX13;from=searchresults;highlight_room=#hotelTmpl
Centro Sharjah - by Rotana|Sharjah|3|8.2|1698.0|Beach, 1 restaurant onsite, Outdoor Pool, Airport shuttle||https://www.booking.com/hotel/ae/centro-sharjah-airport-sharjah.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=27684803_96530849_0_2_0;all_sr_blocks=27684803_96530849_0_2_0;nflt=class%25253D1%25253;hpos=14;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX14;from=searchresults;highlight_room=#hotelTmpl
Swiss-Belhotel Sharjah|Sharjah|4|7.5|750.0|Beach, 1 restaurant onsite, Outdoor Pool, Airport shuttle||https://www.booking.com/hotel/ae/sharjah-rotana.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=6725803_88790112_0_42_0;all_sr_blocks=6725803_88790112_0_42_0;nflt=class%25253D1%25253;hpos=15;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX15;from=searchresults;highlight_room=#hotelTmpl
Aryana Hotel|Al Khan, Sharjah|4|7.4|1425.0|Beach, 1 restaurant onsite, Indoor Pool, Airport shuttle||https://www.booking.com/hotel/ae/aryana.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=29167805_88790243_0_2_0;all_sr_blocks=29167805_88790243_0_2_0;nflt=class%25253D1%25253;hpos=16;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX16;from=searchresults;highlight_room=#hotelTmpl
Tulip Inn Hotel Apartments|Sharjah|0|6.9|1797.0|Beach, 1 restaurants on site and more nearby, Airport shuttle, Free WiFi||https://www.booking.com/hotel/ae/tulip-inn-sharjah.en-gb.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zaGFyamFoSDNiBW5vcmVmaAKIAQGYAS64AQfIAQzYAQHoAQH4AQOSAgF5qAID;sid=ca9044f4cae7564aaa2328eb840a8a69;checkin=2017-05-15;checkout=2017-05-18;ucfs=1;group_adults=1;group_children=0;group_adults=1;group_children=0;req_adults=1;req_children=0;req_adults=1;req_children=0;room1=A;room2=A;highlighted_blocks=6904703_89332128_0_34_0;all_sr_blocks=6904703_89332128_0_34_0;nflt=class%25253D1%25253;hpos=17;dest_type=city;dest_id=-782371;srfid=d92c2cccca2017fa597568413a82b8aa41e7532cX17;from=searchresults;highlight_room=#hotelTmpl
